datetime,"Discharge, cubic feet per second (mean)","data-value (approved, provisional, estimated) "
6/21/15,127,A
6/22/15,99,A
6/23/15,55,A
6/24/15,49.9,A
6/25/15,37.7,A
6/26/15,32.5,A
6/27/15,30.5,A
6/28/15,297,A
6/29/15,150,A
6/30/15,82.9,A
7/1/15,169,A
7/2/15,172,A
7/3/15,85.8,A
7/4/15,65.3,A
7/5/15,67,A
7/6/15,52.8,A
7/7/15,97.8,A
7/8/15,202,A
7/9/15,85.9,A
7/10/15,493,A
7/11/15,143,A
7/12/15,90.8,A
7/13/15,70.6,A
7/14/15,67.8,A
7/15/15,71.9,A
7/16/15,58.5,A
7/17/15,47.7,A
7/18/15,50.9,A
7/19/15,58.3,A
7/20/15,68,A
7/21/15,45.5,A
7/22/15,37.6,A
7/23/15,32.4,A
7/24/15,29,A
7/25/15,27.1,A
7/26/15,29.5,A
7/27/15,167,A
7/28/15,133,A
7/29/15,59.9,A
7/30/15,46.3,A
7/31/15,51.9,A
8/1/15,40.3,A
8/2/15,36.3,A
8/3/15,30,A
8/4/15,32.3,A
8/5/15,42.8,A
8/6/15,28,A
8/7/15,24.3,A
8/8/15,22.1,A
8/9/15,20.3,A
8/10/15,19.5,A
8/11/15,72.9,A
8/12/15,125,A
8/13/15,45.3,A
8/14/15,31.8,A
8/15/15,28.6,A
8/16/15,55.3,A
8/17/15,34.2,A
8/18/15,27.6,A
8/19/15,31.4,A
